Campaign,Ad Group,Ad type,Ad status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Search - Travel eSIM - AU,Travel eSIM - General,Responsive search ad,Enabled,https://www.trvel.co/en-au/,travel-esim,plans,Travel eSIM | Instant Setup,Unlimited Data Plans,Works on iPhone & Android,Skip Roaming Fees,eSIM from $6.99,QR Code Sent Instantly,No Physical SIM Needed,Australian Owned Company,Activate in 2 Minutes,Works When You Land,190+ Destinations,24/7 Aussie Support,Trusted by Travellers,Money-Back Guarantee,4.9/5 Customer Rating,Skip $10/day roaming. Get unlimited data for your trip. QR code sent instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land. Aussie support.,190+ destinations covered. Japan Thailand Bali Europe & more. Reliable 4G/5G coverage.,Australian owned with real support. 4.9/5 rated by 100k+ customers. Money-back guarantee.
Search - Travel eSIM - AU,Japan eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/japan/,japan-esim,plans,Japan eSIM | Instant Setup,Unlimited Data in Japan,Works on iPhone & Android,Skip Japan Roaming Fees,Japan eSIM from $24.99,QR Code Sent Instantly,No Physical SIM Needed,Tokyo to Osaka Coverage,NTT Docomo Network,Activate in 2 Minutes,Works When You Land,Japan Travel Data Plan,5G Speed in Japan,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Japan. QR code delivered instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land in Tokyo or Osaka.,Powered by NTT Docomo network. Reliable 4G/5G coverage from Hokkaido to Okinawa.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,Japan eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/japan/,japan-esim,plans,Trusted Japan eSIM Provider,Australian Owned Company,24/7 Live Chat Support,4.9/5 Customer Rating,Money-Back Guarantee,NTT Docomo Network,Used by 100000+ Aussies,Japan eSIM from $24.99,Skip Roaming Fees Japan,Works on iPhone & Android,Instant QR Code Delivery,Tokyo Osaka Kyoto Coverage,No Physical SIM Needed,Activate Before You Fly,Reliable 5G Coverage,Australian company with real support. Not a faceless app. 4.9/5 rated by travellers.,Money-back guarantee if not satisfied. No questions asked. We stand behind our product.,NTT Docomo network - Japan's #1 carrier. Reliable 4G/5G. Trusted by 100k+ Aussies.,Skip $10/day Telstra roaming. Get unlimited data in Japan. QR code sent instantly.
Search - Travel eSIM - AU,Thailand eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/thailand/,thailand-esim,plans,Thailand eSIM | Instant,Unlimited Data Thailand,Works iPhone & Android,Skip Thailand Roaming,Thailand eSIM from $19.99,QR Code Sent Instantly,No Physical SIM Needed,Bangkok to Phuket,AIS Network Coverage,Activate in 2 Minutes,Works When You Land,Thailand Travel Data,Reliable 4G/5G Speed,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Thailand. QR code delivered instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land in Bangkok.,Powered by AIS network - Thailand's #1 carrier. Reliable 4G/5G across all provinces.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,Thailand eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/thailand/,thailand-esim,plans,Trusted Thailand eSIM,Australian Owned Company,24/7 Live Chat Support,4.9/5 Customer Rating,Money-Back Guarantee,AIS Network Thailand,Used by 100000+ Aussies,Thailand eSIM $19.99,Skip Roaming Fees Thai,Works on iPhone & Android,Instant QR Code Delivery,Bangkok Phuket Chiang Mai,No Physical SIM Needed,Activate Before You Fly,Reliable 4G/5G Coverage,Australian company with real support. Not a faceless app. 4.9/5 rated by travellers.,Money-back guarantee if not satisfied. No questions asked. We stand behind our eSIM.,AIS network - Thailand's most reliable carrier. 4G/5G Bangkok to islands. 100k+ users.,Skip $10/day Telstra roaming. Get unlimited data in Thailand. QR code sent instantly.
Search - Travel eSIM - AU,Indonesia eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/indonesia/,bali-esim,plans,Bali eSIM | Instant Setup,Unlimited Data in Bali,Works iPhone & Android,Skip Bali Roaming Fees,Bali eSIM from $19.99,QR Code Sent Instantly,No Physical SIM Needed,Bali to Jakarta Coverage,Telkomsel Network,Activate in 2 Minutes,Works When You Land,Indonesia Travel Data,Reliable 4G Coverage,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Bali & Indonesia. QR code sent instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land. Skip SIM queues.,Telkomsel network - Indonesia's #1 carrier. Reliable 4G coverage. Easy 2 minute setup.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,Indonesia eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/indonesia/,bali-esim,plans,Trusted Bali eSIM Provider,Australian Owned Company,24/7 Live Chat Support,4.9/5 Customer Rating,Money-Back Guarantee,Telkomsel Network,Used by 100000+ Aussies,Bali eSIM from $19.99,Skip Roaming Fees Bali,Works on iPhone & Android,Instant QR Code Delivery,Bali Ubud Seminyak Kuta,No Physical SIM Needed,Activate Before You Fly,No Airport SIM Queue,Australian company with real support. Not a faceless app. 4.9/5 rated by travellers.,Money-back guarantee if not satisfied. No questions asked. We stand behind our eSIM.,Telkomsel network - Indonesia's most reliable. 4G from Bali to Jakarta. 100k+ users.,Skip $10/day Telstra roaming. Get unlimited data in Bali. QR code sent instantly.
Search - Travel eSIM - AU,Singapore eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/singapore/,singapore-esim,plans,Singapore eSIM | Instant,Unlimited Data Singapore,Works iPhone & Android,Skip Singapore Roaming,Singapore eSIM $17.99,QR Code Sent Instantly,No Physical SIM Needed,Singtel Network,Activate in 2 Minutes,Works When You Land,Singapore Travel Data,Blazing Fast 5G Speed,Australian Owned Support,Trusted by Travellers,4.9/5 Customer Rating,Skip $10/day roaming. Get unlimited data in Singapore. QR code sent instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land at Changi.,Singtel network - Singapore's fastest 5G. Reliable island-wide coverage. Easy setup.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,South Korea eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/south-korea/,korea-esim,plans,Korea eSIM | Instant,Unlimited Data Korea,Works iPhone & Android,Skip Korea Roaming Fees,Korea eSIM from $24.99,QR Code Sent Instantly,No Physical SIM Needed,Seoul to Busan Coverage,SK Telecom Network,Activate in 2 Minutes,Works When You Land,Korea Travel Data Plan,Ultra Fast 5G Speed,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Korea. QR code delivered instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land in Seoul.,SK Telecom network - Korea's fastest 5G. Reliable Seoul to Busan to Jeju coverage.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,Vietnam eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/vietnam/,vietnam-esim,plans,Vietnam eSIM | Instant,Unlimited Data Vietnam,Works iPhone & Android,Skip Vietnam Roaming,Vietnam eSIM from $17.99,QR Code Sent Instantly,No Physical SIM Needed,Hanoi to Saigon,Viettel Network,Activate in 2 Minutes,Works When You Land,Vietnam Travel Data,Reliable 4G Coverage,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Vietnam. QR code delivered instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land in Hanoi.,Viettel network - Vietnam's #1 carrier. Reliable 4G from Hanoi to Ho Chi Minh.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
Search - Travel eSIM - AU,Malaysia eSIM,Responsive search ad,Enabled,https://www.trvel.co/en-au/malaysia/,malaysia-esim,plans,Malaysia eSIM | Instant,Unlimited Data Malaysia,Works iPhone & Android,Skip Malaysia Roaming,Malaysia eSIM $17.99,QR Code Sent Instantly,No Physical SIM Needed,KL to Langkawi,Maxis Network Coverage,Activate in 2 Minutes,Works When You Land,Malaysia Travel Data,Reliable 4G/5G Speed,Australian Owned Support,Trusted by Travellers,Skip $10/day roaming. Get unlimited data in Malaysia. QR code delivered instantly.,Works on all eSIM phones. No SIM swap needed. Connect when you land in KL.,Maxis network - Malaysia's leading carrier. Reliable 4G/5G KL to Langkawi.,Australian owned company with real support. 4.9/5 rated. Money-back guarantee.
